,Название программы,Название вуза,Город,Направление,Уровень,Язык обучения,Продолжительность,Форма обучения,Возможность бесплатного обучения,Стоимость обучения,Где проходит обучение,Ссылка
2913,Филология,ВШЭ,Москва,Языкознание и литературоведение,бакалавриат,"русский, английский",4 года                                            ,очная,есть,440000,Москва ,https://studyinrussia.ru/study-in-russia/programs/13027-filologiya/info/
2914,Филология,ТюмГУ,Тюмень,Языкознание и литературоведение,бакалавриат,русский,4 года                                            ,очная,есть,139707,Тюмень ,https://studyinrussia.ru/study-in-russia/programs/16099-filologiya/info/
2915,Филология,ТюмГУ,Тюмень,Языкознание и литературоведение,магистратура,русский,2 года                                            ,очная,есть,149354,Тюмень ,https://studyinrussia.ru/study-in-russia/programs/16121-filologiya/info/
2916,Филология (английский язык),ДВФУ,Владивосток,Языкознание и литературоведение,бакалавриат,русский,4 года                                            ,очная,есть,200000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9629-filologiya-inostrannye-yazyki/info/
2917,Филология (иностранные языки),ДВФУ,Владивосток,Языкознание и литературоведение,магистратура,русский,2 года                                            ,очная,есть,250000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9731-filologiya-inostrannye-yazyki/info/
2918,Филология (Нижний Новгород),ВШЭ,Москва,Языкознание и литературоведение,бакалавриат,"русский, английский",4 года                                            ,очная,есть,170000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/13087-filologiya-nizhniy-novgorod/info/
2919,Филология (русский язык),ДВФУ,Владивосток,Языкознание и литературоведение,магистратура,русский,2 года                                            ,"очная, заочная",есть,250000120000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9730-filologiya-russkiy-yazyk/info/
2920,Филология (русский язык),ДВФУ,Владивосток,Языкознание и литературоведение,бакалавриат,русский,4 года                                            ,очная,есть,20000095000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9628-filologiya-russkiy-yazyk/info/
2921,Филология (Санкт-Петербург),ВШЭ,Москва,Языкознание и литературоведение,бакалавриат,"русский, английский",4 года                                            ,очная,есть,320000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13088-filologiya-sanktpeterburg/info/
2922,Филология и семиотика германских языков и культур,НГУ,Новосибирск,Языкознание и литературоведение,магистратура,русский,2 года                                            ,очная,есть,5200,Новосибирск ,https://studyinrussia.ru/study-in-russia/programs/101946-filologiya-i-semiotika-germanskikh-yazykov-i-kultur/info/
2923,Филология: романо-германская филология,КФУ,Казань,Языкознание и литературоведение,магистратура,"русский, английский","2,5 года                                            ",заочная,нет,,Казань ,https://studyinrussia.ru/study-in-russia/programs/418152-filologiya-romanogermanskaya-filologiya/info/
2924,Философия,ТГУ,Томск,"Философия, этика и религиоведение",бакалавриат,русский,4 года                                            ,очная,нет,183300,Томск ,https://studyinrussia.ru/study-in-russia/programs/10758-filosofiya-fsf/info/
2925,Философия,КФУ,Казань,"Философия, этика и религиоведение",магистратура,русский,2 года                                            ,очная,есть,162000,Казань ,https://studyinrussia.ru/study-in-russia/programs/14098-filosofiya/info/
2926,Философия,НГУ,Новосибирск,"Философия, этика и религиоведение",бакалавриат,русский,4 года                                            ,очная,есть,4500,Новосибирск ,https://studyinrussia.ru/study-in-russia/programs/10531-filosofiya/info/
2927,Философия,ННГУ,Нижний Новгород,"Философия, этика и религиоведение",бакалавриат,русский,4 года                                            ,очная,есть,125000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/10043-filosofiya/info/
2928,Философия,НГУ,Новосибирск,"Философия, этика и религиоведение",магистратура,русский,2 года                                            ,очная,есть,5200,Новосибирск ,https://studyinrussia.ru/study-in-russia/programs/10327-filosofiya/info/
2929,Философия,ДВФУ,Владивосток,"Философия, этика и религиоведение",бакалавриат,русский,4 года                                            ,очная,есть,180000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9619-filosofiya/info/
2930,Философия,УрФУ,Екатеринбург,"Философия, этика и религиоведение",бакалавриат,русский,4 года                                            ,очная,есть,173300138700,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/172692-filosofiya/info/
2931,Философия,КФУ,Казань,"Философия, этика и религиоведение",бакалавриат,русский,4 года                                            ,очная,есть,142500,Казань ,https://studyinrussia.ru/study-in-russia/programs/14041-filosofiya/info/
2932,Философия,БФУ,Калининград,"Философия, этика и религиоведение",бакалавриат,русский,4 года                                            ,очная,есть,2500,Калининград ,https://studyinrussia.ru/study-in-russia/programs/16346-filosofiya/info/
2933,Философия,ВШЭ,Москва,"Философия, этика и религиоведение",бакалавриат,"русский, английский",4 года                                            ,очная,есть,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/13019-filosofiya/info/
